iso,total_old,georef_old,total_cima,pub_cima,prv_cima,georef_cima,diff_total
ARG,35636.0,34166.0,35368,27953,7415,34394,-268.0
BHS,,,77,0,0,77,
BLZ,303.0,303.0,273,273,0,273,-30.0
BOL,15329.0,15299.0,15564,14918,646,15533,235.0
BRA,134418.0,116542.0,129976,104110,25866,0,-4442.0
BRB,106.0,106.0,94,94,0,94,-12.0
CHL,7895.0,7895.0,8444,5190,3254,8438,549.0
COL,43658.0,43259.0,48209,42538,5671,47587,4551.0
CRI,4418.0,4381.0,4351,4350,1,4279,-67.0
DOM,6599.0,6294.0,8980,6480,2500,6244,2381.0
ECU,6382.0,6357.0,16215,13077,3138,15688,9833.0
GTM,35973.0,35973.0,35350,35346,4,35350,-623.0
GUY,874.0,874.0,546,546,0,545,-328.0
HND,16955.0,16234.0,16926,16926,0,16336,-29.0
HTI,,,111,111,0,0,
JAM,955.0,953.0,914,0,0,912,-41.0
MEX,205848.0,205848.0,156830,135831,20999,156830,-49018.0
PAN,3132.0,3107.0,3615,3090,525,3068,483.0
PER,69142.0,69142.0,53342,40153,13189,53342,-15800.0
PRY,8162.0,7900.0,7628,7047,581,7275,-534.0
SLV,5160.0,5093.0,5763,4880,883,5637,603.0
SUR,547.0,547.0,572,567,5,572,25.0
URY,2597.0,2597.0,2611,2611,0,2611,14.0
