iso,total,with_coords,missing_coords,qc_checked,match,mismatch,out_of_bounds,likely_swapped,no_polygon,no_raw_adm,match_rate_pct,dup_coord_schools,dup_coord_pct,dup_diff_addr,dup_diff_addr_pct
ARG,35368,34394,974,34394,34307,76,1,0,10,0,99.7,3328,9.7,2111,6.1
BLZ,273,273,0,273,247,23,0,0,3,0,90.5,26,9.5,26,9.5
BOL,15564,15533,31,15533,15456,71,1,0,5,0,99.5,2914,18.8,75,0.5
BRA,129976,122390,7586,122390,122342,40,1,0,7,0,100.0,6940,5.7,6731,5.5
COL,48209,47587,622,46593,46132,368,0,0,93,0,99.0,5466,11.5,5341,11.2
CRI,4351,4279,72,4279,4259,17,0,0,2,1,99.6,114,2.7,106,2.5
GTM,21717,21717,0,21717,21379,322,0,0,16,0,98.4,4749,21.9,2947,13.6
GUY,503,503,0,503,452,20,0,0,31,0,89.9,0,0.0,0,0.0
HND,11633,11212,421,11212,11038,95,73,0,6,0,98.4,71,0.6,71,0.6
MEX,152860,152860,0,152860,152706,85,2,0,67,0,99.9,64091,41.9,23535,15.4
PER,53342,53342,0,53342,52998,333,0,0,11,0,99.4,20441,38.3,621,1.2
PRY,7628,7275,353,7275,7275,0,0,0,0,0,100.0,54,0.7,54,0.7
SLV,5762,5637,125,5637,5444,121,0,0,71,1,96.6,22,0.4,2,0.0
SUR,571,571,0,571,543,23,0,0,3,2,95.4,97,17.0,79,13.8
